UserID0,Channel2,RecordDate2,Duration 2,Name,Surname,Email,Gender,Race,Age,Province,Social Media Handle,Watch_Count,Day_name,Month_name,Day_month,sast_time,day_classification,Duration_classification,Age_Classification,Time_Classification
861612,SuperSport Blitz,2016-03-17T10:49:00.000Z,1899-12-31T00:01:09.000Z,Stefan ,Mcclaine,Stefan 462@gmail.com,male,other,114,Gauteng,@Stefan 46,1,Thu,Mar,17,2016-03-17T12:49:00.000Z,Weekday,02. Medium consumption,Senior citizen,02. Mid-Morning
758214,Cartoon Network,2016-01-31T07:29:00.000Z,1899-12-31T00:01:51.000Z,Kip ,Reisinger,Kip 145@mailxyz.com,male,black,113,Kwazulu Natal,@Kip 14,1,Sun,Jan,31,2016-01-31T09:29:00.000Z,Weekend,02. Medium consumption,Senior citizen,02. Mid-Morning
773035,Cartoon Network,2016-02-02T20:22:00.000Z,1899-12-31T00:03:58.000Z,Seema ,Fudge,Seema 265@mailxyz.com,female,white,113,Western Cape,@Seema 26,2,Tue,Feb,2,2016-02-02T22:22:00.000Z,Weekday,02. Medium consumption,Senior citizen,04. Evening
773035,Cartoon Network,2016-02-01T15:55:00.000Z,1899-12-31T00:01:10.000Z,Seema ,Fudge,Seema 265@mailxyz.com,female,white,113,Western Cape,@Seema 26,2,Mon,Feb,1,2016-02-01T17:55:00.000Z,Weekday,02. Medium consumption,Senior citizen,03. Afternoon
773035,kykNET,2016-01-31T14:29:00.000Z,1899-12-31T00:00:00.000Z,Seema ,Fudge,Seema 265@mailxyz.com,female,white,113,Western Cape,@Seema 26,1,Sun,Jan,31,2016-01-31T16:29:00.000Z,Weekend,04.Very High Consumption,Senior citizen,03. Afternoon
821222,Supersport Live Events,2016-03-18T10:36:00.000Z,1899-12-31T00:01:04.000Z,Roxana ,Nicholls,Roxana 503@mail.com,female,black,113,Limpopo,@Roxana 50,1,Fri,Mar,18,2016-03-18T12:36:00.000Z,Weekday,02. Medium consumption,Senior citizen,02. Mid-Morning
821371,Africa Magic,2016-02-28T09:46:00.000Z,1899-12-31T00:00:08.500Z,Adela ,Vital,Adela 364@abcmail.com,female,None,113,Eastern Cape,@Adela 36,1,Sun,Feb,28,2016-02-28T11:46:00.000Z,Weekend,01. Low consumption,Senior citizen,02. Mid-Morning
821371,Channel O,2016-02-27T20:25:00.000Z,1899-12-31T00:13:42.000Z,Adela ,Vital,Adela 364@abcmail.com,female,None,113,Eastern Cape,@Adela 36,1,Sat,Feb,27,2016-02-27T22:25:00.000Z,Weekend,02. Medium consumption,Senior citizen,04. Evening
860451,CNN,2016-03-11T07:21:00.000Z,1899-12-31T00:00:44.000Z,Donald ,Beville,Donald 224@abcmail.com,male,None,112,Western Cape,@Donald 22,1,Fri,Mar,11,2016-03-11T09:21:00.000Z,Weekday,01. Low consumption,Senior citizen,02. Mid-Morning
940027,Africa Magic,2016-03-30T07:34:00.000Z,1899-12-31T00:00:09.000Z,Irving ,Restivo,Irving 51@yahoo.com,male,None,111,Limpopo,@Irving 5,1,Wed,Mar,30,2016-03-30T09:34:00.000Z,Weekday,01. Low consumption,Senior citizen,02. Mid-Morning
787128,Break in transmission,2016-02-11T10:31:00.000Z,1899-12-31T00:00:35.000Z,Yong ,Biggers,Yong 482@gmail.com,male,black,100,Gauteng,@Yong 48,1,Thu,Feb,11,2016-02-11T12:31:00.000Z,Weekday,01. Low consumption,Senior citizen,02. Mid-Morning
